num_timesteps,eval_reward_mean,eval_reward_std
250,-1758.2763658,85.3732186186044
500,-1444.3166964,71.77855474359582
750,-1050.5631669999998,63.42681953368908
1000,-834.3908478,35.39868946558228
1250,-915.4193951999999,48.93357916987542
1500,-1251.0985592000002,48.446320371470435
1750,-880.2037862,45.10562351958909
2000,-797.0465208,67.74845166178075
2250,-893.0630025999999,35.183229116501444
2500,-782.4096426,77.90253075245448
2750,-762.8954390000001,66.59544789034744
3000,-704.2495981999999,103.74619395242183
3250,-959.6967341999998,72.13354969764207
3500,-828.4209047999999,64.20990683516679
3750,-694.5084392000001,69.32557413386634
4000,-759.7050346,49.619324643834496
4250,-541.0557092,56.60799140374266
4500,-622.30679,75.15248502934806
4750,-625.2467608000001,61.80679947456447
5000,-498.1300346,33.252599319431376
