num_timesteps,eval_reward_mean,eval_reward_std
250,-1654.1093438,133.26433149682222
500,-1670.6379289999998,222.49975883562757
750,-1189.8432963999999,28.149283486749177
1000,-714.1217254000001,18.29658725245118
1250,-1250.5770462,67.47537679886535
1500,-1619.3911114,47.14610649196303
1750,-1512.6111986,30.46878218888279
2000,-1072.9164914,53.71189370420347
2250,-647.9377684,69.48346374244798
2500,-635.2742894,53.103880763581216
2750,-593.3122412,24.122636206084117
3000,-592.8712824,25.52431962687954
3250,-593.3590363999999,26.363722279528247
3500,-586.2845568,28.29084733486778
3750,-602.1577729999999,30.6671013363348
4000,-616.7263084,39.44333723406968
4250,-584.7685098000001,11.508148946386088
4500,-592.6837062000001,27.61239749178865
4750,-578.1316692,30.449358908313265
5000,-581.8853328,20.148462675484733
